detector,perturbation,severity,split,threshold_policy,threshold,precision,recall,f1,iou,accuracy,tp,fp,fn,tn,f1_delta,relative_f1_degradation_pct,iou_delta,relative_iou_degradation_pct,additional_false_positives,relative_fp_increase_pct,fp_generation_rate_pct,latency_ms_per_pair,peak_ram_mb,seed
B3_CVA,gaussian_blur,strong,test,frozen_m5_val_f1,0.405,0.1101562012904457,0.14858036763660595,0.1265151575060186,0.067529320033143,0.8954833224415779,1015904,8206491,5821500,119173833,-0.005079416006340293,3.8598977684009528,-0.0029021675052653823,4.1205540400985345,-1909758,-18.878123699802167,-1.4992566669872813,201.6539319374715,477.640625,42
B1_Pixel_Diff,geometric_misregistration,mild,test,frozen_m5_val_f1,0.41,0.11242673384017147,0.17290129411688998,0.13625529825079855,0.07310834907963376,0.8883286938071251,1182196,9333061,5655208,118047263,0.006365232137231253,-4.900476478059464,0.003652503859009837,-5.258742223073945,-231927,-2.424749513538334,-0.18207443089876268,167.91110452311386,477.640625,42
B2_SSIM,geometric_misregistration,mild,test,frozen_m5_val_f1,0.9,0.07386886365384106,0.535400862666591,0.12982576227221612,0.06941907318216042,0.6343751028180122,3660752,45896691,3176652,81483633,0.005185978606308553,-4.16077311254758,0.0029572902242440413,-4.449610125741884,-2115231,-4.405636999910147,-1.6605633692688675,167.91110452311386,477.640625,42
B3_CVA,geometric_misregistration,mild,test,frozen_m5_val_f1,0.405,0.11142309852912423,0.18119128253939654,0.13798976012923975,0.07410794912643308,0.884677454829216,1238878,9879804,5598526,117500520,0.006395186616880849,-4.859764689522121,0.0036764615880246904,-5.219911883899664,-236445,-2.337279361154515,-0.18562128951720988,167.91110452311386,477.640625,42
B1_Pixel_Diff,geometric_misregistration,medium,test,frozen_m5_val_f1,0.41,0.11715664870056179,0.18651303915930667,0.1439145458399819,0.07753659483588336,0.8869597837328911,1275265,9609862,5562139,117770462,0.014024479726414601,-10.79719192240038,0.008080749615259439,-11.63436941785279,44874,0.4691485237618699,0.035228360700354316,166.3009299920759,514.46875,42
B2_SSIM,geometric_misregistration,medium,test,frozen_m5_val_f1,0.9,0.06967339299911364,0.5472119242917342,0.12360842570355292,0.06587560261769983,0.6047089099884033,3741509,49959177,3095895,77421147,-0.001031357962354651,0.827470918209525,-0.000586180340216555,0.881981063595186,1947255,4.055773897158294,1.5286937093989492,166.3009299920759,514.46875,42
B3_CVA,geometric_misregistration,medium,test,frozen_m5_val_f1,0.405,0.11610452405142645,0.195297513500738,0.14563119131570765,0.07853410315881852,0.8832655474543571,1335328,10165757,5502076,117214567,0.01403661780334875,-10.666562783480186,0.008102615620410134,-11.504251725468011,49508,0.48939087995955816,0.03886628518859789,166.3009299920759,514.46875,42
B1_Pixel_Diff,geometric_misregistration,strong,test,frozen_m5_val_f1,0.41,0.1170868057986183,0.1959468827642772,0.14658354961342016,0.07908829641759477,0.8837680593132973,1339768,10102751,5497636,117277573,0.016693483499852863,-12.852009394819449,0.009632451196970843,-13.868452923398625,537763,5.622202557912252,0.42217116671802474,166.09055960157093,514.484375,42
B2_SSIM,geometric_misregistration,strong,test,frozen_m5_val_f1,0.9,0.06685271765444643,0.5625812077215271,0.11950446622348634,0.06354945495855072,0.5776819959282875,3846595,53691754,2990809,73688570,-0.005135317442421225,4.120127050433799,-0.002912327999365666,4.381958878848845,5679832,11.830045045895059,4.4589555291129574,166.09055960157093,514.484375,42
B3_CVA,geometric_misregistration,strong,test,frozen_m5_val_f1,0.405,0.11602696630850555,0.20498525463757883,0.14818013571869215,0.08001865547338263,0.8799418210983276,1401567,10678099,5435837,116702225,0.016585562206333254,-12.603530497992455,0.009587167934974244,-13.612048062659582,561850,5.553936048826003,0.44108068056099464,166.09055960157093,514.484375,42
B1_Pixel_Diff,localized_occlusion_shadow,mild,test,frozen_m5_val_f1,0.41,0.10396834078581728,0.16889158516887404,0.1287061690811287,0.06877924084104388,0.8835110738873482,1154780,9952255,5682624,117428069,-0.0011838970324385967,0.9114607974742851,-0.0006766043795800453,0.9741503791809553,387267,4.0487975520722035,0.3040241913656932,149.2487656723256,514.484375,42
B2_SSIM,localized_occlusion_shadow,mild,test,frozen_m5_val_f1,0.9,0.07033211682199578,0.5340044262413044,0.12429386281852671,0.06626510430109094,0.616676963865757,3651204,48262547,3186200,79117777,-0.0003459208473808595,0.27753646324362036,-0.00019667865682544694,0.29592744592781073,250625,0.522005763485161,0.19675330704921112,149.2487656723256,514.484375,42
B3_CVA,localized_occlusion_shadow,mild,test,frozen_m5_val_f1,0.405,0.10314055413581853,0.17698354521686885,0.1303292431373911,0.06970705545830401,0.8796746209263802,1210108,10522503,5627296,116857821,-0.001265330374967788,0.9615368941098111,-0.0007244320801043785,1.0285627997127338,406254,4.015856074717021,0.3189299471400308,149.2487656723256,514.484375,42
B1_Pixel_Diff,localized_occlusion_shadow,medium,test,frozen_m5_val_f1,0.41,0.10113614945797944,0.17343994884608252,0.12776821214100714,0.0682438002439418,0.8793660402297974,1185879,10539691,5651525,116840633,-0.0021218539725601504,1.6335767900102087,-0.0012120449766821195,1.7450582781508215,974703,10.190321200612065,0.765191176621595,149.60240912506606,516.421875,42
B2_SSIM,localized_occlusion_shadow,medium,test,frozen_m5_val_f1,0.9,0.07000355628210521,0.5345328431667925,0.12379469625111753,0.06598142325030258,0.6145308837294579,3654817,48554202,3182587,78826122,-0.0008450874147900439,0.6780238138532638,-0.00048035970761380054,0.7227607900888913,542280,1.1294694680208803,0.4257172402858702,149.60240912506606,516.421875,42
B3_CVA,localized_occlusion_shadow,medium,test,frozen_m5_val_f1,0.405,0.10035202848538896,0.18169556749900986,0.12929391368638446,0.06911503342631929,0.8753336668014526,1242326,11137354,5595078,116242970,-0.002300659825974438,1.7482938426472183,-0.0013164541120890966,1.8691272300207986,1021105,10.093711611883021,0.8016190946413357,149.60240912506606,516.421875,42
B1_Pixel_Diff,localized_occlusion_shadow,strong,test,frozen_m5_val_f1,0.41,0.09721476741941242,0.18169088736017355,0.12665958580800168,0.06761162298558107,0.8723590597510338,1242294,11536567,5595110,115843757,-0.0032304803055656084,2.4870880447016552,-0.0018442222350428528,2.6552441039119876,1971579,20.61245659691366,1.5477892802345203,149.94608301617518,523.453125,42
B2_SSIM,localized_occlusion_shadow,strong,test,frozen_m5_val_f1,0.9,0.06951377115888471,0.5358328979829187,0.1230625932165203,0.06556563515211383,0.6109698489308357,3663706,49041045,3173698,78339279,-0.0015771904493872696,1.2653988983283793,-0.0008961478058025496,1.3483655808180628,1029123,2.1434738646788603,0.8079136303657071,149.94608301617518,523.453125,42
B3_CVA,localized_occlusion_shadow,strong,test,frozen_m5_val_f1,0.405,0.09643572349708483,0.1901818292439645,0.1279776630826983,0.06836332054319491,0.8679696395993233,1300350,12183761,5537054,115196563,-0.003616910429660586,2.7485255152416284,-0.0020681669952134774,2.9364238460612437,2067512,20.437535691341722,1.623101539606698,149.94608301617518,523.453125,42
