sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_115,B2_SSIM,validation_f1,0.8999999761581421,0.2030749769070681,0.6054839369756497,0.3041426775656474,0.17934449646333434,109483,429643,71336,438114,180819,539126
test_115,B3_CVA,validation_f1,0.4050000011920929,0.2589196501993934,0.32388189294266645,0.2877802483998968,0.16807436553103683,58564,167622,122255,700135,180819,226186
test_116,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.12126981968197839,0.8401381909547738,0.21194624092543257,0.11853460213362284,10700,77533,2036,958307,12736,88233
test_116,B2_SSIM,validation_f1,0.8999999761581421,0.012170222343692224,0.35662688442211055,0.02353721543651637,0.011908757210277924,4542,368664,8194,667176,12736,373206
test_116,B3_CVA,validation_f1,0.4050000011920929,0.11750134271590323,0.8417085427135679,0.20621531418018832,0.11496101834872224,10720,80513,2016,955327,12736,91233
test_117,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0,0.0,0.0,0.0,0,18174,0,1030402,0,18174
test_117,B2_SSIM,validation_f1,0.8999999761581421,0.0,0.0,0.0,0.0,0,227569,0,821007,0,227569
test_117,B3_CVA,validation_f1,0.4050000011920929,0.0,0.0,0.0,0.0,0,19610,0,1028966,0,19610
test_118,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.19111146423205824,0.17700103689333377,0.18378581128248586,0.10119170548505779,26459,111989,123026,787102,149485,138448
test_118,B2_SSIM,validation_f1,0.8999999761581421,0.15517705301478152,0.5902665819312974,0.24574850299401196,0.14008738394320044,88236,480379,61249,418712,149485,568615
test_118,B3_CVA,validation_f1,0.4050000011920929,0.1917379193747315,0.1851155634344583,0.18836855486765122,0.103977304751348,27672,116650,121813,782441,149485,144322
test_119,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.13192635832959138,0.2057501559774374,0.1607684731024465,0.08741067709601164,16159,106326,62378,863713,78537,122485
test_119,B2_SSIM,validation_f1,0.8999999761581421,0.0908957157081942,0.44051848173472374,0.15069692481923513,0.08148849522921216,34597,346026,43940,624013,78537,380623
test_119,B3_CVA,validation_f1,0.4050000011920929,0.13361484644031352,0.2183684123406802,0.16578778197214958,0.09038636878692534,17150,111204,61387,858835,78537,128354
test_12,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.03948128651216537,0.0117084872253741,0.018060878375401965,0.009112731152204836,1230,29924,103822,913600,105052,31154
test_12,B2_SSIM,validation_f1,0.8999999761581421,0.11483642354959205,0.3874652553021361,0.17716494306904837,0.09719197707736389,40704,313748,64348,629776,105052,354452
test_12,B3_CVA,validation_f1,0.4050000011920929,0.04025334694122591,0.012765106804249323,0.01938337452842461,0.009786535303776683,1341,31973,103711,911551,105052,33314
test_120,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.11939239068710959,0.0728098412523513,0.09045619215707364,0.04737057709048082,9251,68233,117806,853286,127057,77484
test_120,B2_SSIM,validation_f1,0.8999999761581421,0.13945898510684976,0.5653446878172789,0.22372867630340462,0.1259541114686259,71831,443238,55226,478281,127057,515069
test_120,B3_CVA,validation_f1,0.4050000011920929,0.12244923016477174,0.07849233021399844,0.09566289214064067,0.05023422152823251,9973,71473,117084,850046,127057,81446
test_121,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.06821705426356589,0.05239503706833634,0.05926827148692101,0.030539136664875514,1364,18631,24669,1003912,26033,19995
test_121,B2_SSIM,validation_f1,0.8999999761581421,0.05234316499888166,0.41351361733184805,0.09292388700662509,0.04872584076404291,10765,194897,15268,827646,26033,205662
